team,color
カスタマー・サポートセンター,#e0e0e0
カスタマーサポート部,#f5f5f5
財務情報第一システムサポート課,#f8cbad
財務会計グループ,#ffeedd
ＦＸ２グループ,#ffe0b2
ＦＸ２・ＦＸ４クラウドグループ,#ffcc80
業種別システムグループ,#fff3e0
財務情報第二システムサポート課,#f8bbd0
ＦＸクラウドグループ,#f48fb1
ＳＸ・ＦＭＳグループ,#fce4ec
税務情報システムサポート課,#faf2d7
税務情報第一システムグループ,#fff59d
税務情報第二システムグループ,#fff9c4
給与計算システムサポート課,#d9e1f2
ＰＸ第一グループ,#d1c4e9
ＰＸ第二グループ,#b39ddb
ＰＸ第三グループ,#ede7f6
ＯＭＳ・テクニカルサポート課,#dbf9d7
ＯＭＳグループ,#ccff99
ハードウェアグループ,#c6e0b4
一次受付サポート課,#bbdefb
一次受付グループ,#ddebf7
ＴＡＳＫカスタマーサポート部,#c8e6c9
住民情報・福祉情報システム第一グループ,#a5d6a7
住民情報・福祉情報システム第二グループ,#e8f5e9
税務情報システムグループ,#daf5f0
住民サービス・内部情報システムサービス,#cdeffb
ＴＡＳＫカスタマーサポート部,#e1f5fe
コールセンター業務管理部,#e3f2fd
総務部,#b3e5fc
unknown_team,#fdfdfd
